customId,winnerCode,hasGlobalHighlights,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,homeRedCards,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,coverage,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,aggregatedWinnerCode,previousLegEventId,homeScore.aggregated,awayScore.aggregated,awayRedCards
jobsILo,1,True,True,True,True,6.0,False,10981576,1.0,1690140600,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,26,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,1690147953.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1690147955,,,,,,,,,
jobsILo,2,True,,True,True,6.0,False,10340869,,1658671200,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,10,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,5.0,1658678233.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1658678237,,,,,,,,,
jobsILo,2,True,,True,True,1.0,False,10347858,1.0,1656025500,atletico-tucuman-independiente,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,16,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0,1656032480.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1656032483,-1.0,Round of 32,round-of-32,16.0,,,,,
jobsILo,1,True,,True,True,1.0,False,9626295,,1629841500,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,8,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,2.0,2.0,0.0,,2.0,0.0,0.0,0.0,,0.0,2.0,4.0,1629848295.0,['time.currentPeriodStart'],1636406349,1.0,,,,,,,,
jobsILo,2,True,,True,True,1.0,False,9326753,,1619968200,atletico-tucuman-independiente,False,Copa de la Liga,copa-de-la-liga,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,72142,12,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,,1.0,1.0,6.0,1619975100.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1619975106,3.0,,,,,,,,
jobsILo,3,True,,True,True,1.0,False,9132714,,1604622600,atletico-tucuman-independiente,False,CONMEBOL Sudamericana,conmebol-sudamericana,South America,south-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,"{'name': 'South America', 'slug': 'south-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1470, 'flag': 'south-america'}",105090,480,True,False,False,False,408,689,8,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,5.0,1604629335.0,"['homeScore.aggregated', 'awayScore.aggregated']",1604635274,1.0,Round 2,round-2,,2.0,9132674.0,1.0,2.0,
jobsILo,1,True,,True,True,1.0,False,9132674,,1604017800,atletico-tucuman-independiente,False,CONMEBOL Sudamericana,conmebol-sudamericana,South America,south-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,"{'name': 'South America', 'slug': 'south-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1470, 'flag': 'south-america'}",105090,480,True,False,False,False,408,689,8,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,1.0,4.0,1604024502.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1604024505,1.0,Round 2,round-2,,,,,,1.0
jobsILo,2,True,,True,True,1.0,False,8296553,,1569106800,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,7,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,,5.0,1569113727.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1569113728,1.0,,,,,,,,
jobsILo,1,True,,True,True,1.0,False,7907610,,1540767600,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,10,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,4.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1540774673.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1540774675,1.0,,,,,,,,1.0
jobsILo,2,False,,True,True,1.0,False,7527535,,1522537200,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,21,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,,5.0,1522544122.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1522544129,1.0,,,,,,,,1.0
jobsILo,2,False,,,,4.0,False,7578215,,1505866200,atletico-tucuman-independiente,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,6,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,,4.0,1505873063.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1505873066,-1.0,1/32,132,,,,,,
jobsILo,1,False,,True,True,1.0,False,7519602,1.0,1505263500,atletico-tucuman-independiente,False,CONMEBOL Sudamericana,conmebol-sudamericana,South America,south-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,"{'name': 'South America', 'slug': 'south-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1470, 'flag': 'south-america'}",105090,480,True,False,False,False,408,689,4,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1505270407.0,['cardsCode'],1505294513,1.0,1/8,18,8.0,1.0,7519593.0,2.0,1.0,1.0
jobsILo,1,False,,True,True,1.0,False,7519593,,1503449100,atletico-tucuman-independiente,False,CONMEBOL Sudamericana,conmebol-sudamericana,South America,south-america,"{'name': 'Football', 'slug': 'football', 'id': 1}",1470,south-america,,CONMEBOL Sudamericana,conmebol-sudamericana,#e3c000,#13489c,"{'name': 'South America', 'slug': 'south-america', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 1470, 'flag': 'south-america'}",105090,480,True,False,False,False,408,689,4,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1503455733.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1503455734,1.0,1/8,18,8.0,,,,,
jobsILo,0,False,,,,4.0,False,7523646,,1503015000,atletico-tucuman-independiente,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,5,70,Canceled,canceled,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,,,,,,,,,,,,,,['cardsCode'],1502906159,-1.0,1/16,116,16.0,,,,,
jobsILo,3,False,,,,,False,7304846,,1484961000,atletico-tucuman-independiente,False,Torneos de Verano,torneos-de-verano,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Torneos de Verano,torneos-de-verano,#c00212,#d7ad09,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",1114,1230,False,False,False,False,0,3969,1,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1484967465.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1484967467,-1.0,,,,,,,,
jobsILo,2,False,,,,1.0,False,7166182,1.0,1476572400,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,6,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1476579213.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1476579215,1.0,,,,,,,,
jobsILo,2,False,,,,,False,4032255,,1393456200,atletico-tucuman-independiente,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,25,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,1.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,1393462875.0,,0,-1.0,,,,,,,,
jobsILo,1,False,,,,,False,4031793,,1377386100,atletico-tucuman-independiente,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,4,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,2.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,,,,,0,,,,,,,,,
jobsILo,1,False,,,,,False,1260019,,1265328900,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,100,Ended,finished,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,,,,,0,,,,,,,,,
jobsILo,2,False,,,,,False,1108020,2.0,1251659400,atletico-tucuman-independiente,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,100,Ended,finished,Atlético Tucumán,atletico-tucuman,Atlético Tucumán,M,Football,football,1,14554,CAT,False,False,0,36833,[],#ffffff,#33ccff,#33ccff,Independiente,independiente,Independiente,M,Football,football,1,15929,CAI,False,False,0,3209,[],#cc0000,#cc0000,#cc0000,2.0,2.0,1.0,1.0,2.0,4.0,4.0,0.0,4.0,4.0,,,,,0,,,,,,,,,
