customId,winnerCode,hasGlobalHighlights,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport,tournament.category.id,tournament.category.flag,tournament.category.alpha2,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.injuryTime1,time.injuryTime2,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeRedCards,coverage,awayRedCards,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,homeScore.penalties,awayScore.penalties
lobsrob,3,True,True,True,True,6.0,False,10981723,1690156800,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,26,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,3.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,7.0,1690164000.0,"['homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime']",1690164095,,,,,,,,
lobsrob,2,True,,True,True,6.0,False,10341061,1665963000,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,26,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,18.0,1665970789.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1665970792,1.0,,,,,,,
lobsrob,3,True,,True,True,1.0,False,9626492,1638129600,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,23,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,2.0,2.0,1.0,,2.0,2.0,2.0,0.0,,2.0,2.0,4.0,1638136619.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1638136620,1.0,1.0,,,,,,
lobsrob,1,True,,True,True,1.0,False,9326806,1613867400,rosario-central-river-plate,False,Copa de la Liga,copa-de-la-liga,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,72142,2,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,3.0,3.0,1.0,,3.0,0.0,0.0,0.0,,0.0,1.0,4.0,1613874245.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1613874247,,3.0,1.0,,,,,
lobsrob,2,True,,True,True,1.0,False,9157822,1606609800,rosario-central-river-plate,False,"Copa de la Liga Profesional, Group 3",copa-de-la-liga-profesional-group-3,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,89766,5,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,,2.0,4.0,4.0,1606617487.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1606617488,,3.0,,,,,,
lobsrob,1,True,,True,True,1.0,False,9142633,1604794500,rosario-central-river-plate,False,"Copa de la Liga Profesional, Group 3",copa-de-la-liga-profesional-group-3,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa de la Liga Profesional,copa-de-la-liga-profesional,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",21523,13475,True,False,False,False,0,89766,2,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,2.0,2.0,1.0,,2.0,1.0,1.0,0.0,,1.0,,5.0,1604801393.0,"['homeScore.normaltime', 'awayScore.normaltime']",1604801577,,3.0,1.0,,,,,
lobsrob,2,True,,True,True,1.0,False,8449041,1573394400,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,13,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,1.0,1.0,4.0,1573401330.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1573401337,,1.0,,,,,,
lobsrob,3,True,,True,True,1.0,False,8097323,1550188800,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,15,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,1550195735.0,"['homeScore.display', 'awayScore.display']",1550322063,,1.0,,,,,,
lobsrob,0,False,,,,1.0,False,7907767,1544401800,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,15,70,Canceled,canceled,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,,,,,,,,,,,,,1543623114.0,"['status.code', 'status.description', 'status.type']",1547426530,,1.0,,,,,,
lobsrob,1,False,,True,True,1.0,False,7527568,1523825100,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,23,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1523831958.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1523831961,,1.0,,,,,,
lobsrob,3,False,,True,,1.0,False,7166430,1496006100,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,26,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1496012916.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1496012918,,1.0,,,,,,
lobsrob,1,False,,True,,1.0,False,7291550,1481847000,rosario-central-river-plate,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,1,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1481853919.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1481853920,,1.0,1.0,Final,final,1.0,,
lobsrob,3,False,,,,,False,6984956,1456101000,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,4,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,3.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,9.0,1456108233.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1456108239,,1.0,,,,,,
lobsrob,2,False,,,,,False,6766127,1435973400,rosario-central-river-plate,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,5,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1435980473.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1435980481,2.0,-1.0,1.0,1/16,116,16.0,,
lobsrob,1,False,,,,,False,6573797,1433106900,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,14,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1433113750.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1433113761,,3.0,,,,,,
lobsrob,2,False,,,,,False,6186376,1412896200,rosario-central-river-plate,False,Copa Argentina,copa-argentina,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Copa Argentina,copa-argentina,#187ec0,#44a4d8,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",17272,1024,False,False,False,False,0,273,3,120,AP,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,1412903754.0,,0,,-1.0,,Quarterfinals,quarterfinals,4.0,4.0,5.0
lobsrob,1,False,,,,,False,5656032,1408310100,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,93,Removed,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1408316937.0,,0,,1.0,,,,,,
lobsrob,3,False,,,,,False,4861232,1392585300,rosario-central-river-plate,False,"Liga Profesional de Fútbol, Torneo Final",liga-profesional-de-futbol-torneo-final,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,332,16889,2,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7.0,1392592247.0,,0,1.0,3.0,,,,,,
lobsrob,1,False,,,,,False,4031185,1376093700,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,1.0,,,,,,,
lobsrob,3,False,,,,,False,2402944,1338051600,rosario-central-river-plate,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,35,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,,,,,,,
lobsrob,3,False,,,,,False,1840215,1322345400,rosario-central-river-plate,False,Primera Nacional,primera-nacional,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Primera Nacional,primera-nacional,#145286,#27A4DE,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",8675,703,False,False,False,False,0,5071,16,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,0,,,,,,,,
lobsrob,3,False,,,,,False,1259978,1265580600,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,3,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,,,,,,,
lobsrob,1,False,,,,,False,1108029,1252451400,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,3,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,,,,,0,1.0,,,,,,,
lobsrob,2,False,,,,,False,963297,1234725000,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,100,Ended,finished,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,,,,,0,,,,,,,,
lobsrob,1,False,,,,,False,800920,1219000800,rosario-central-river-plate,False,Liga Profesional de Fútbol,liga-profesional-de-futbol,Argentina,argentina,"{'name': 'Football', 'slug': 'football', 'id': 1}",48,argentina,AR,Liga Profesional de Fútbol,liga-profesional-de-futbol,#0cbad8,#daa813,"{'name': 'Argentina', 'slug': 'argentina', 'sport': {'name': 'Football', 'slug': 'football', 'id': 1}, 'id': 48, 'flag': 'argentina', 'alpha2': 'AR'}",62413,155,True,False,True,False,351,68,2,100,Ended,finished,River Plate,river-plate,River,M,Football,football,1,96046,RIV,False,False,0,3211,[],#ffffff,#ff0000,#ff0000,Rosario Central,rosario-central,Rosario Central,M,Football,football,1,13467,ROS,False,False,0,3217,[],#000066,#ffcc00,#ffcc00,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,,,,,,,
